EmployeeNumber;StandardHours;Typeofcontract;Age;Gender;MaritalStatus;Education;EducationField;BusinessTravel;DistanceFromHome;Department;JobLevel;JobRole;Salaryineuros;PensionPlan;OverTime;PerformanceRating;PercentageSalaryincrease;TalentStatus;Sicknessdays;NumCompaniesWorked;TotalWorkingYears;TrainingTimes;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;YearsInCurrentRoleCat;RecruitmentCosts;EnvironmentSatisfaction;ManagerSatisfaction;JobInvolvement;JobSatisfaction;JobSatisfactionCont;Flightrisklikelihoodin2021;Leftthecompanyin2022;OverTimeVal;PensionPlanVal;TalentStatusVal;JobRoleVal;BusinessTravelVal;EducationFieldVal;MaritalStatusVal;GenderVal;TypeOfContractVal;DepartmentValt;EducationVal
EMPLID0011;40;Permanent;41;Female;Single;Associate's degree;Finance & Economics;Travel_Rarely;1;Local Branch;2;Branch Representative;71916;Yes;Yes;1;11;Contributor A;7;8;17;0;1;15;14;0;5; ;5753;2;1;3;1;18;100;1;1;1;1;1;1;1;3;1;1;3;3
EMPLID00110;40;Permanent;59;Female;Married;BsC;Business Administration;Travel_Rarely;3;Local Branch;1;Call center agent;32040;Yes;Yes;4;20;Key Talent;5;4;16;3;2;5;4;0;0; ;0;3;1;4;2;30;2;0;1;1;2;2;1;5;1;1;1;3;2
EMPLID00111;40;Permanent;30;Male;Divorced;High school diploma;Finance & Economics;Travel_Rarely;24;Local Branch;1;Call center agent;32316;Yes;No;4;22;Contributor B;12;1;6;2;3;6;5;0;0; ;323;4;2;3;3;71;36;0;0;1;3;2;1;1;2;2;1;3;4
EMPLID00112;40;Permanent;38;Male;Single;BsC;Finance & Economics;Travel_Frequently;23;Head office;3;Marketeer;114312;Yes;No;4;21;Contributor A;7;0;10;2;3;9;3;1;8; ;9145;4;2;2;3;53;11;0;0;1;1;3;3;1;3;2;1;2;2
EMPLID00113;40;Permanent;36;Male;Married;BsC;IT & Operations;Travel_Rarely;27;Head office;2;IT developer;62844;Yes;No;3;13;Rising Star;2;6;17;3;2;7;1;7;7; ;3771;3;2;3;2;43;40;0;0;1;4;4;1;4;1;2;1;2;2
EMPLID00114;40;Permanent;35;Male;Married;BsC;Business Administration;Travel_Rarely;16;Local Branch;1;Call center agent;29112;Yes;No;3;13;Contributor B;7;0;17;5;3;16;15;0;3; ;0;1;3;4;4;99;49;0;0;1;3;2;1;5;1;2;1;3;2
EMPLID00115;40;Permanent;29;Female;Single;Associate's degree;Finance & Economics;Travel_Rarely;15;Local Branch;2;Call center agent;50316;Yes;Yes;1;12;Contributor A;3;0;10;3;3;9;9;0;8; ;2516;4;4;2;3;71;21;0;1;1;1;2;1;1;3;1;1;3;3
EMPLID00116;40;Permanent;31;Male;Divorced;High school diploma;Finance & Economics;Travel_Rarely;26;Local Branch;1;Financial Advisor;34932;Yes;No;1;17;Contributor B;6;1;9;1;2;9;8;4;3; ;1397;1;4;3;3;52;22;0;0;1;3;5;1;1;2;2;1;3;4
EMPLID00118;40;Permanent;34;Male;Divorced;Associate's degree;Business Administration;Travel_Rarely;19;Local Branch;1;Call center agent;31932;Yes;No;3;11;Contributor B;6;0;18;2;3;17;16;1;2; ;319;2;3;3;2;45;6;0;0;1;3;2;1;5;2;2;1;3;3
EMPLID00119;40;Permanent;28;Male;Single;BsC;Finance & Economics;Travel_Rarely;24;Local Branch;1;Call center agent;24336;Yes;Yes;2;14;Contributor A;5;5;6;4;3;4;1;0;3; ;973;3;2;2;1;5;84;1;1;1;1;2;1;1;3;2;1;3;2
EMPLID0012;40;Permanent;49;Male;Married;High school diploma;Finance & Economics;Travel_Frequently;8;Local Branch;2;Financial Advisor;61560;Yes;No;4;23;Contributor B;10;1;10;3;3;10;1;1;7; ;4925;3;4;2;3;57;40;0;0;1;3;5;3;1;1;2;1;3;4
EMPLID00120;40;Permanent;29;Female;Divorced;MsC;Finance & Economics;Travel_Rarely;21;Head office;3;Marketeer;119760;Yes;No;2;11;Contributor B;4;1;17;1;3;17;16;8;8; ;9581;2;3;4;4;95;1;0;0;1;3;3;1;1;2;1;1;2;1
EMPLID00121;40;Permanent;32;Male;Divorced;Associate's degree;Finance & Economics;Travel_Rarely;5;Local Branch;1;Financial Advisor;39576;Yes;Yes;3;12;Rising Star;5;0;14;5;2;13;12;0;5; ;792;1;4;4;2;27;45;0;1;1;4;5;1;1;2;2;1;3;3
EMPLID00122;40;Permanent;22;Male;Divorced;Associate's degree;Business Administration;Non-Travel;16;Local Branch;1;Call center agent;35220;Yes;Yes;3;13;Rising Star;7;1;16;2;2;16;15;0;0; ;1057;4;2;4;4;79;36;0;1;1;4;2;2;5;2;2;1;3;3
EMPLID00123;40;Permanent;53;Female;Married;MsC;Finance & Economics;Travel_Rarely;2;Management;4;Team Manager;185124;Yes;No;1;16;Contributor A;40;2;31;3;3;25;1;3;7; ;27769;1;3;2;3;62;33;0;0;1;1;8;1;1;1;1;1;1;1
EMPLID00124;40;Permanent;38;Male;Single;BsC;Finance & Economics;Travel_Rarely;2;Local Branch;1;Financial Advisor;47328;Yes;Yes;3;11;Contributor A;8;5;12;3;3;9;8;1;2; ;0;4;3;3;1;10;38;0;1;1;1;5;1;1;3;2;1;3;2
EMPLID00126;40;Permanent;24;Female;Divorced;Associate's degree;Other;Non-Travel;11;Head office;2;Marketeer;48132;Yes;No;3;18;Contributor B;3;0;5;5;2;4;4;1;3; ;1925;1;4;4;3;58;5;0;0;1;3;3;2;2;2;1;1;2;3
EMPLID00127;40;Permanent;36;Male;Single;MsC;Finance & Economics;Travel_Rarely;9;Head office;1;Office Support function;40884;Yes;No;4;23;Contributor A;4;7;10;4;3;5;3;0;3; ;818;3;2;2;2;38;82;1;0;1;1;6;1;1;3;2;1;2;1
EMPLID00128;40;Permanent;34;Female;Single;MsC;Finance & Economics;Travel_Rarely;7;Management;3;Branch Manager;143928;Yes;No;3;11;Contributor A;7;0;13;4;3;12;8;2;11; ;17271;1;3;3;2;50;3;0;0;1;1;7;1;1;3;1;1;1;1
EMPLID00130;40;Permanent;21;Male;Single;Associate's degree;Finance & Economics;Travel_Rarely;15;Local Branch;1;Financial Advisor;14784;Yes;No;3;14;Contributor A;3;1;2;6;3;2;1;0;0; ;444;3;4;3;4;81;5;0;0;1;1;5;1;1;3;2;1;3;3
EMPLID00131;40;Temporary;34;Male;Single;High school diploma;Business Administration;Travel_Rarely;6;Local Branch;1;Financial Advisor;35520;Yes;No;3;11;Contributor A;3;2;22;2;3;18;17;1;3; ;710;2;3;3;1;12;52;1;0;1;1;5;1;5;3;2;2;3;4
EMPLID00132;40;Temporary;53;Female;Divorced;BsC;Other;Travel_Rarely;5;Management;5;Team Manager;229128;Yes;No;3;11;Contributor B;7;4;26;3;2;14;13;4;8; ;45826;3;4;3;3;72;6;0;0;1;3;8;1;2;2;1;2;1;2
EMPLID00133;40;Permanent;32;Female;Single;High school diploma;Finance & Economics;Travel_Frequently;16;Local Branch;1;Financial Advisor;47028;Yes;Yes;4;22;Contributor A;6;1;17;5;3;17;16;6;7; ;0;2;2;1;1;20;83;1;1;1;1;5;3;1;3;1;1;3;4
EMPLID00135;40;Permanent;42;Male;Married;MsC;Marketing & Sales;Travel_Rarely;8;Local Branch;2;Branch Representative;81900;Yes;No;3;11;Contributor B;7;0;10;2;3;9;3;4;2; ;4095;3;4;3;4;82;36;0;0;1;3;1;1;3;1;2;1;3;1
EMPLID00136;40;Permanent;44;Female;Married;MsC;Business Administration;Travel_Rarely;7;Head office;3;IT developer;122976;Yes;No;3;14;Contributor B;7;3;24;4;3;22;1;5;17; ;9838;1;4;2;3;54;46;0;0;1;3;4;1;5;1;1;1;2;1
EMPLID00138;40;Permanent;46;Female;Single;MsC;Marketing & Sales;Travel_Rarely;2;Management;5;Team Manager;227364;Yes;No;2;12;Contributor A;7;3;29;2;2;9;8;2;1; ;38652;2;4;3;4;93;17;0;0;1;1;8;1;3;3;1;1;1;1
EMPLID0013865;40;Permanent;32;Female;Married;Associate's degree;Business Administration;Travel_Rarely;8;Local Branch;2;Financial Advisor;62100;Yes;No;2;12;Contributor B;7;5;12;3;2;8;7;1;3; ;3726;3;3;4;4;85;15;0;0;1;3;5;1;5;1;1;1;3;3
EMPLID00139;40;Temporary;33;Male;Single;BsC;Business Administration;Travel_Rarely;2;Local Branch;1;Call center agent;29952;Yes;No;3;11;Contributor A;10;4;16;3;3;10;9;0;0; ;899;3;4;3;3;59;45;0;0;1;1;2;1;5;3;2;2;3;2
EMPLID0014;40;Permanent;37;Male;Single;Associate's degree;Other;Travel_Rarely;2;Local Branch;1;Call center agent;25080;Yes;Yes;3;15;Contributor A;8;6;17;3;3;10;9;0;0; ;1003;4;2;2;4;86;79;1;1;1;1;2;1;2;3;2;1;3;3
EMPLID00140;40;Temporary;44;Male;Married;MsC;Other;Travel_Rarely;10;Head office;2;IT developer;77580;Yes;Yes;2;13;Contributor A;6;2;11;5;4;6;5;1;3; ;6206;4;4;3;4;81;38;0;1;1;1;4;1;2;1;2;2;2;1
